epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,190.278,0.48476,0.47857,0.84226,0.95765,0.98781,0.99171,0.86135,0.50423,0.6363,0.83623,0.000207393,0.000207393,0.000207393
59,193.226,0.48358,0.47151,0.84496,0.9751,0.98832,0.99277,0.85677,0.49252,0.64009,0.83652,0.000202681,0.000202681,0.000202681
60,196.246,0.48268,0.47478,0.84583,0.97537,1,0.99299,0.85638,0.49898,0.61338,0.83703,0.000197968,0.000197968,0.000197968
61,199.239,0.47214,0.46316,0.83719,0.96051,0.99823,0.9931,0.86274,0.4929,0.71456,0.83652,0.000193256,0.000193256,0.000193256
62,202.196,0.46682,0.46348,0.83956,0.95863,1,0.99367,0.86531,0.49341,0.59138,0.83646,0.000188544,0.000188544,0.000188544
63,205.467,0.47056,0.46699,0.8415,0.96808,1,0.99385,0.86667,0.48889,0.64034,0.83769,0.000183831,0.000183831,0.000183831
64,208.592,0.48221,0.46445,0.83395,0.97486,0.99549,0.99306,0.86863,0.48405,0.6147,0.83578,0.000179119,0.000179119,0.000179119
65,211.638,0.48626,0.46349,0.83818,0.97752,1,0.99334,0.86162,0.47792,0.54382,0.83662,0.000174406,0.000174406,0.000174406
66,214.92,0.47011,0.45673,0.84051,0.95252,1,0.99308,0.87072,0.46999,0.62147,0.83207,0.000169694,0.000169694,0.000169694
67,217.867,0.4622,0.45774,0.83763,0.97279,0.99889,0.99278,0.85946,0.4902,0.60468,0.83699,0.000164982,0.000164982,0.000164982
68,220.953,0.4527,0.45591,0.83496,0.92479,0.99318,0.99327,0.85843,0.46803,0.57263,0.83196,0.000160269,0.000160269,0.000160269
69,224.073,0.47029,0.45275,0.83962,0.97784,1,0.99318,0.84343,0.49912,0.58801,0.83552,0.000155557,0.000155557,0.000155557
70,227.15,0.45959,0.45197,0.83895,0.97366,1,0.99338,0.86771,0.47955,0.60183,0.82902,0.000150844,0.000150844,0.000150844
71,230.211,0.45943,0.44749,0.83522,0.97133,1,0.99404,0.87114,0.47962,0.59558,0.83268,0.000146132,0.000146132,0.000146132
72,233.169,0.46857,0.45137,0.83825,0.96527,1,0.99376,0.85148,0.48484,0.58036,0.83138,0.00014142,0.00014142,0.00014142
73,236.15,0.45142,0.44285,0.83777,0.96698,1,0.99336,0.85591,0.47558,0.56282,0.8293,0.000136707,0.000136707,0.000136707
74,239.176,0.46105,0.45164,0.83677,0.97598,1,0.99346,0.84873,0.46619,0.59846,0.83021,0.000131995,0.000131995,0.000131995
75,242.121,0.45913,0.44578,0.83967,0.97852,0.99161,0.99317,0.85553,0.4575,0.58521,0.83046,0.000127282,0.000127282,0.000127282
76,245.408,0.46056,0.44021,0.83221,0.95493,0.98425,0.99386,0.86624,0.47042,0.54973,0.83069,0.00012257,0.00012257,0.00012257
77,248.468,0.46179,0.44074,0.83008,0.9651,0.99286,0.99425,0.86024,0.48545,0.59255,0.83198,0.000117858,0.000117858,0.000117858
78,251.684,0.45,0.44117,0.836,0.92892,0.99205,0.99435,0.86388,0.47694,0.55362,0.83239,0.000113145,0.000113145,0.000113145
79,254.775,0.45718,0.44279,0.8337,0.96822,0.99942,0.99406,0.8631,0.47828,0.52826,0.83246,0.000108433,0.000108433,0.000108433
80,257.777,0.46478,0.4496,0.82999,0.97486,1,0.99425,0.86801,0.47097,0.56048,0.82927,0.00010372,0.00010372,0.00010372
