epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,119.782,0.4782,0.48742,0.85338,0.9857,0.87002,0.99358,0.82616,0.46995,0.37755,0.83974,0.000219198,0.000219198,0.000219198
72,121.398,0.47659,0.51991,0.84494,0.98217,0.875,0.99329,0.8311,0.48397,0.37874,0.83467,0.000212129,0.000212129,0.000212129
73,122.953,0.49822,0.48538,0.83385,0.88545,1,0.99346,0.85846,0.48861,0.36825,0.84026,0.000205061,0.000205061,0.000205061
74,124.557,0.51305,0.4779,0.85443,0.90385,1,0.99365,0.87609,0.45987,0.36909,0.83221,0.000197992,0.000197992,0.000197992
75,126.16,0.50016,0.46183,0.85424,0.91137,1,0.99365,0.87916,0.45892,0.3747,0.83096,0.000190924,0.000190924,0.000190924
76,127.832,0.51562,0.49387,0.84982,0.93973,1,0.99288,0.87423,0.47521,0.37613,0.83581,0.000183855,0.000183855,0.000183855
77,129.456,0.47686,0.45802,0.8272,0.9379,1,0.99301,0.87376,0.45289,0.35617,0.83293,0.000176786,0.000176786,0.000176786
78,131.065,0.47865,0.49505,0.83273,0.93062,1,0.99288,0.88081,0.44375,0.35393,0.83335,0.000169718,0.000169718,0.000169718
79,132.645,0.47045,0.44866,0.836,0.92103,1,0.99288,0.88645,0.45246,0.35624,0.83448,0.000162649,0.000162649,0.000162649
80,134.23,0.45505,0.45496,0.83146,0.98645,0.875,0.99231,0.87615,0.45962,0.35886,0.83237,0.000155581,0.000155581,0.000155581
81,135.813,0.46933,0.4723,0.83871,0.98668,0.875,0.99212,0.87453,0.46165,0.36821,0.83164,0.000148512,0.000148512,0.000148512
82,137.399,0.47506,0.47619,0.83824,0.98679,0.87141,0.99212,0.87206,0.46457,0.35314,0.83511,0.000141443,0.000141443,0.000141443
83,139.012,0.48174,0.46913,0.83968,0.91544,1,0.99212,0.87936,0.45404,0.34688,0.83766,0.000134375,0.000134375,0.000134375
84,140.648,0.47061,0.46032,0.83192,0.91281,1,0.93012,0.81824,0.44795,0.34316,0.83225,0.000127306,0.000127306,0.000127306
85,142.262,0.4563,0.45206,0.83616,0.91743,1,0.93012,0.81934,0.45922,0.34709,0.8328,0.000120238,0.000120238,0.000120238
86,143.892,0.48096,0.52321,0.84703,0.91416,1,0.93031,0.82255,0.464,0.34765,0.83342,0.000113169,0.000113169,0.000113169
87,145.464,0.45198,0.44542,0.82434,0.9094,1,0.93031,0.82472,0.44845,0.34562,0.83239,0.0001061,0.0001061,0.0001061
88,147.071,0.4406,0.43468,0.83793,0.90624,1,0.9305,0.82283,0.43638,0.34692,0.83031,9.90318e-05,9.90318e-05,9.90318e-05
89,148.639,0.43781,0.47499,0.84825,0.90529,1,0.93031,0.82772,0.44413,0.35542,0.82834,9.19632e-05,9.19632e-05,9.19632e-05
